,Site,N,EC average,EC std,PMLv2 average,PMLv2 std,r2,r,nse,bias,rmse,urmse,pbias,IGBP,rrmse
0,AR-TF1,12,1.1550815245803339,0.5860272660511712,1.2391349431818182,0.5665894527909743,0.8712002503112996,0.8712002503112996,0.8370059188437745,0.08405341860148428,0.2190080721865896,0.2022363926307283,7.27683863111071,WET,18.96039954982052
1,CA-Cbo,108,1.5554911403509382,1.45848132362298,1.3325576336279459,1.0187567115048282,0.7358803840950641,0.7358803840950641,0.35830720047099474,-0.22293350672299186,0.8122955555257289,0.7811048080168514,-14.332033204168253,DBF,52.22116246463898
2,CA-DB2,39,0.760650540427618,0.6374698564438693,1.1624679487179488,0.7876012787462859,0.9092199883442259,0.9092199883442259,0.6213092450396622,0.4018174082903307,0.4784188235224677,0.2596677513582766,52.825494354403446,WET,62.89600783738523
3,CA-DBB,108,0.8774520180473232,0.7557522175409074,1.215120440516274,0.8560708623426063,0.8591150777496965,0.8591150777496965,0.700136146500052,0.3376684224689506,0.46660757550237714,0.322028983142103,38.482836157855786,WET,53.177560243209996
4,CA-ER1,108,1.5971806350898703,1.3183576920637785,1.3673451090768802,1.277088276727477,0.786117098991742,0.786117098991742,0.7322023028203146,-0.22983552601299037,0.6578158724934511,0.6163581370328881,-14.390077174962617,CRO,41.18606612435149
5,CA-LP1,78,0.8826867479875554,0.7220211272978138,0.8910569638694639,0.9039906992471428,0.7926251255485757,0.7926251255485757,0.7841494030398055,0.00837021588190856,0.41729064682637856,0.417206691479017,0.9482657240512427,ENF,47.27505514020266
6,PE-QFR,72,2.80589452742115,0.43432822043243086,3.328177675189394,0.32741198542102296,0.17471650877723427,0.17471650877723427,-3.2312214288911703,0.5222831477682436,0.6687909324833811,0.41773391642202756,18.61378404156428,WET,23.835212833108713
7,US-ALQ,117,1.1693542688259249,1.02783840429818,1.2416198280885782,1.1586506939472976,0.9056018801562807,0.9056018801562807,0.8975139312282,0.07226555926265352,0.3693354605794933,0.36219659217878125,6.179954286668901,WET,31.584565125017228
8,US-ARM,108,1.8447485920758606,1.210446435504322,2.102877586630191,1.4680168125896371,0.6369932536176961,0.6369932536176961,0.605087916553697,0.2581289945543301,0.918250665356623,0.8812228472970113,13.99263811140045,CRO,49.776466522374896
9,US-Bar,144,0.9277228297034138,0.994384356132727,1.3121064091435184,1.0988749466654986,0.7723160072342226,0.7723160072342226,0.6484211361773692,0.38438357944010476,0.6493015264017039,0.5232988974232559,41.433019338651974,DBF,69.98874077608728
10,US-Bi1,144,2.4261945389226964,1.4564605618664153,2.2883091724537037,1.4175670228094106,0.7777807712116892,0.7777807712116892,0.7470778491997261,-0.1378853664689927,0.7104341139267912,0.6969248567418561,-5.683194989393471,CRO,29.281828086310234
11,US-Bi2,144,1.9708818362624616,1.3573182486069986,1.4875595209911614,1.2053082311432608,0.8269078862521768,0.8269078862521768,0.6179963523827461,-0.48332231527129976,0.7423669860001242,0.5634787320420345,-24.523150316706044,CRO,37.66674248761321
12,US-BRG,108,1.828768806120635,1.2291068204710305,1.5460509522306398,1.0869104750667302,0.908051778266061,0.908051778266061,0.8081100018739187,-0.28271785388999526,0.4739144541692444,0.3803492144889591,-15.459463926975236,GRA,25.91439949014433
13,US-BZB,144,0.7341733175397278,0.8331802382073235,0.8674557883522728,1.0260047134826653,0.9362452570819868,0.9362452570819868,0.8950610066231838,0.13328247081254485,0.3312108655318842,0.30321019181499,18.154088091785308,WET,45.113443599639076
14,US-BZF,144,0.7921109076197725,0.9152298734434074,0.9210137310606059,1.045339958883305,0.8364050009181627,0.8364050009181627,0.8195704007928402,0.12890282344083365,0.4424846575524797,0.42329272882760044,16.27333018657399,WET,55.86145239207844
15,US-BZo,144,0.8074072859081348,0.9309498219331075,0.9648426188973064,1.1098179228670964,0.919415022374711,0.919415022374711,0.8847436730971759,0.1574353329891716,0.375466240625192,0.34086509615360044,19.49887445121275,WET,46.502706524735494
